name,addressLine,city,neighboorhoud,postcode,latitude,longitude
BALLYMANA N S,STANDHOUSE RD. NEWBRIDGE CO. KILDARE,KILDARE,KILDARE,W12ED88,53.2120434,-6.8194708
BALLYMANY JUNIOR NS,MANISTER CROOM CO LIMERICK,LIMERICK,LIMERICK,V35EK54,52.5090517,-8.7474955
BALLYNACARGY MIXED N S,BALLYHEELAN KILNALECK CO. CAVAN,CAVAN,CAVAN,A82T993,53.5820789,-7.5364989
BALLYNARRY N S,BALLYNEALE CARRICK-ON-SUIR CO. TIPPERARY,TIPPERARY,TIPPERARY,E32YV18,52.4737894,-8.1618514
BALLYNEALE N S,BALLYOUGHTER GOREY CO. WEXFORD,WEXFORD,WEXFORD,Y25X778,52.3781006,-7.4676022
BALLYOUGHTER N S,LOUGHLINSTOWN DRIVE DUN LAOGHAIRE CO. DUBLIN,DUBLIN,DUBLIN COUNTY,A96H735,52.6150252,-6.3733236
BALLYOWEN MEADOWS,KILKENNY ROAD BALLYRAGGET CO. KILKENNY,KILKENNY,KILKENNY,R95KR86,52.6549027,-7.2464029
BALLYRAGGET NATIONAL SCHOOL,BALLYROAN ROAD RATHFARNHAM DUBLIN 16,DUBLIN,DUBLIN 16,D16YX54,53.3498053,-6.2603097
BALLYROAN    B N S,SCOIL EOIN PHOIL 11 NAOFA BALLYROAN,LAOIS,LAOIS,R32Y778,52.9455429,-7.2981645
BALLYROAN PRIMARY SCHOOL,ATHY CO KILDARE,KILDARE,KILDARE,R14DX61,52.9618789,-6.9335485
BALLYROE CENTRAL N S,BALLYSHANNON KILCULLEN CO. KILDARE,KILDARE,KILDARE,R56FF60,52.9617123,-6.9337508
BALLYSTEEN N S,BALLYTARSNA CASHEL CO. TIPPERARY,TIPPERARY,TIPPERARY,E25RW52,52.5787202,-7.8379497
BALLYTARSNA N S,BALLYVARY CENTRAL N S CASTLEBAR CO MAYO,MAYO,MAYO,F23TP65,52.585169,-7.8308807
BALLYVARY CENTRAL N S,BALLYVONGANE AGHINAGH,COACHFORD,CORK,CORK,51.909471,-8.7889601
BALLYVONGANE MIXED N S,BALSCADDEN RING COMMONS CO. DUBLIN,DUBLIN,DUBLIN COUNTY,K32VK33,53.3641564,-6.2261974
BALSCADDEN N S,NEWTWOPOTHOUSE MALLOW,CORK,CORK,P51ND35,53.61807,-6.23112
BALTYDANIEL N S,BANAGHER CO. OFFALY,OFFALY,OFFALY,R42WR22,53.2356871,-7.7122229
BANAGHER COLLEGE,CONVENT HILL BANDON,CORK,CORK,P72XH02,53.1901112,-7.9861049
BANDON BOYS NS,BANDON CO CORK,CORK,CORK,P72FD36,51.7336038,-8.7493951
BANDON GRAMMAR SCHOOL,DOHORA BANOGUE CROOM CO. LIMERICK,LIMERICK,LIMERICK,V35HY63,51.7472382,-8.7253133
BANSHA N S,BANSHA CO TIPPERARY,TIPPERARY,TIPPERARY,E34KX68,52.4476261,-8.0656106
BANSHA N S,BANTEER CO. CORK,CORK,CORK,P51TK64,52.4476261,-8.0656106
BANTEER N S,BALLYMUN ROAD GLASNEVIN DUBLIN 9,DUBLIN,DUBLIN 9,D09HC90,53.3498053,-6.2603097
BANTIARNA NA MBUANNA BOYS,BALLYMUN ROAD DUBLIN 9,DUBLIN,DUBLIN 9,D09NY99,53.340898,-6.3063426
BANTIARNA NA MBUANNA GIRLS,SESKIN BANTRY CO. CORK,CORK,CORK,P75NY51,51.6766897,-9.441164
BANTRY BOYS SENIOR NATIONAL SCHOOL,BAREFIELD ENNIS CO. CLARE,CLARE,CLARE,V95FD28,51.6800803,-9.4525763
BAREFIELD MIXED N S,BARNACARROLL CLAREMORRIS CO. MAYO,MAYO,MAYO,F12D406,53.7671017,-8.9721133
BARNACARROLL CENTRAL NS,BARNADERG TUAM,GALWAY,GALWAY,H54EW71,53.4822794,-8.7257182
BARNADERG CENTRAL SCH,BARNANE TEMPLEMORE CO. TIPPERARY,TIPPERARY,TIPPERARY,E41PX67,52.7898506,-7.9115726
BARNATRA N S,BARR NA SRUTHAN MOUNTMELLICK CO LAOIS,LAOIS,LAOIS,R32AX96,53.0851473,-7.3659294
BARR NA SRUTHAN N S,LISLEVANE BANDON CO. CORK,CORK,CORK,P72YE28,51.6086841,-8.7475569
BARRYROE NS,RATHCORMAC FERMOY CO CORK,CORK,CORK,P61P761,51.6091828,-8.747353
BARTLEMY N S,BEKAN CLAREMORRIS CO. MAYO,MAYO,MAYO,F12RP44,52.048897,-8.2642626
BEACAN MIXED N S,CASTLETOWNBERE BEARA CO CORK,CORK,CORK,P75AH74,51.8519882,-8.2870939
BEARA COMMUNITY SCHOOL,TRIM RD NAVAN CO MEATH,MEATH,MEATH,C15PY53,53.6438859,-6.683447
BEAUFORT COLLEGE,ST. RAPHAEL'S WARD BEAUMONT HOSPITAL DUBLIN 9,DUBLIN,DUBLIN 9,D09DK19,53.3498053,-6.2603097
